rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
29,Borna Coric,Croatia,CRO,1991,13,2019-01-07,0,0,2102
30,Jannik Sinner,Italy,ITA,1989,30,2020-11-15,0,0,1989
31,Vasek Pospisil,Canada,CAN,1987,31,2020-11-15,0,0,1987
32,Filip Krajinovic,Serbia,SRB,1983,25,2020-08-29,0,0,2032
33,John Isner,United States,USA,1971,9,2012-08-26,0,-1,2148
34,Lucas Pouille,France,FRA,1969,20,2016-09-26,0,0,2069
35,Christian Garin,Chile,CHI,1968,35,2020-11-15,0,0,1972
36,Daniel Evans,United Kingdom,GBR,1963,33,2020-08-29,0,0,1987
37,Casper Ruud,Norway,NOR,1961,30,2020-10-11,0,0,1994
38,Hyeon Chung,"Korea, Republic of",KOR,1960,21,2018-03-30,0,0,2049
39,Felix Auger Aliassime,Canada,CAN,1958,30,2019-08-12,0,0,1995
40,Richard Gasquet,France,FRA,1954,9,2007-10-08,0,0,2196
41,Jan Lennard Struff,Germany,GER,1951,25,2019-06-24,0,0,2036
42,Fabio Fognini,Italy,ITA,1949,14,2014-04-15,0,0,2112
43,Kyle Edmund,United Kingdom,GBR,1946,24,2018-08-06,0,0,2038
44,Sam Querrey,United States,USA,1944,18,2013-04-21,0,0,2068
45,Reilly Opelka,United States,USA,1941,37,2020-08-29,0,0,1972
46,Yoshihito Nishioka,Japan,JPN,1936,33,2020-02-24,0,0,1977
47,Marton Fucsovics,Hungary,HUN,1935,33,2019-03-04,0,0,1979
48,John Millman,Australia,AUS,1932,38,2018-09-10,0,0,1953
49,Adrian Mannarino,France,FRA,1928,29,2018-01-15,0,0,2004
50,Jeremy Chardy,France,FRA,1923,23,2015-09-14,0,-1,2016
51,Miomir Kecmanovic,Serbia,SRB,1923,44,2020-09-15,0,0,1958
52,Fernando Verdasco,Spain,ESP,1922,7,2009-05-04,0,0,2204
53,Frances Tiafoe,United States,USA,1917,36,2019-05-13,0,0,1962
54,Hubert Hurkacz,Poland,POL,1916,33,2020-01-19,0,0,1983
55,Pierre Hugues Herbert,France,FRA,1913,32,2019-06-24,0,0,1989
56,Egor Gerasimov,Belarus,BLR,1913,52,2020-02-24,0,0,1930
57,Lorenzo Sonego,Italy,ITA,1911,57,2020-11-15,0,0,1911
58,Aljaz Bedene,Slovenia,SLO,1908,42,2018-05-21,0,0,1939
59,Taylor Harry Fritz,United States,USA,1906,29,2019-08-05,0,0,1999
60,Guido Pella,Argentina,ARG,1901,29,2019-08-12,0,0,2009
61,Feliciano Lopez,Spain,ESP,1898,16,2014-10-12,0,0,2074
62,Gilles Simon,France,FRA,1895,9,2009-02-02,0,0,2124
63,Philipp Kohlschreiber,Germany,GER,1887,14,2016-05-02,0,0,2117
64,Jordan Thompson,Australia,AUS,1883,58,2019-07-01,0,0,1908
65,Laslo Djere,Serbia,SRB,1881,55,2019-06-10,0,0,1913
66,Alejandro Davidovich Fokina,Spain,ESP,1881,66,2020-11-15,0,0,1881
67,Lloyd George Muirhead Harris,South Africa,RSA,1876,65,2020-10-26,0,0,1886
68,Nicolas Mahut,France,FRA,1874,35,2016-10-10,0,-1,1970
69,Radu Albot,"Moldova, Republic of",MDA,1874,45,2019-04-01,0,0,1936
70,Steve Johnson,United States,USA,1871,21,2017-04-17,0,0,2042
71,Benoit Paire,France,FRA,1869,25,2016-01-11,0,0,2003
72,Mikhail Kukushkin,Kazakhstan,KAZ,1867,41,2019-02-25,0,0,1944
73,Tommy Paul,United States,USA,1867,73,2020-11-09,0,0,1868
74,Jiri Vesely,Czech Republic,CZE,1865,38,2017-08-07,0,0,1953
75,Dusan Lajovic,Serbia,SRB,1865,35,2019-04-22,0,0,1962
76,Ricardas Berankis,Lithuania,LTU,1863,49,2013-04-15,0,0,1914
77,Alexander Bublik,Kazakhstan,KAZ,1863,63,2020-10-26,0,0,1901
78,Tennys Sandgren,United States,USA,1859,47,2020-08-29,0,0,1940
79,Dominik Koepfer,Germany,GER,1857,78,2020-10-11,0,0,1857
80,Robin Haase,Netherlands,NED,1854,44,2011-09-26,0,0,1946
81,Andreas Seppi,Italy,ITA,1850,21,2015-08-03,0,0,2029
82,Albert Ramos,Spain,ESP,1844,25,2017-05-01,0,0,2014
83,Nikoloz Basilashvili,Georgia,GEO,1842,30,2019-01-07,0,0,1990
84,Jack Sock,United States,USA,1841,12,2017-04-17,0,0,2144
85,Roberto Carballes Baena,Spain,ESP,1841,80,2020-10-11,0,0,1854
86,Nicolas Jarry,Chile,CHI,1839,45,2019-07-22,0,-1,1939
87,Norbert Gombos,Slovakia,SVK,1837,87,2020-11-15,0,0,1837
